rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
1|Holo Mask : Blue #3834|934.913792114774|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3834|Sunshine|Aria 2 Color|Vincent 2|Lucia|Maxwell Blue|Grayson Blue
2|Holo Mask : Blue #917|934.574105131171|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/917|Vince|Emily 2 Color|Vincent 1|Mila|Silas Blue|Luke Blue
3|Holo Mask : Blue #1022|933.7212340567997|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1022|Sky|Charlotte 2 Color|Vincent 3|Lana|Micah Blue|Hunter Blue
4|Holo Mask : Blue #94|927.7356435927094|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/94|Vince|Elizabeth 2 Color|Vincent 6|Lilly|Maxwell Blue|Nolan Blue
4|Holo Mask : Blue #857|927.7356435927094|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/857|Vince|Hannah 2 Color|Vincent 6|Mayda|Brandon Blue|Jonathan Blue
4|Holo Mask : Blue #2656|927.7356435927094|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2656|Vince|Emma 2 Color|Vincent 3|Naya|Vincent Blue|Luke Blue
7|Holo Mask : Blue #2032|922.5694690412538|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2032|Sunshine|Addison 2 Color|Vincent 3|Nora|Zachary Blue|Wyatt Blue
8|Holo Mask : Blue #367|784.6562473193992|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/367|Sky|Zoey 2 Color|Weston|Mila|Maxwell Blue|Hunter Blue
8|Holo Mask : Blue #622|784.6562473193992|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/622|Owen|Victoria 2 Color|Jace|Kayla|Kai Blue|Cooper Blue
8|Holo Mask : Blue #734|784.6562473193992|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/734|Sky|Emily 2 Color|Luca|Layla|Kevin Blue|Michael Blue
