rank|token_id|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
1|1757|Holo Mask : White & Black #1757|844.8219887096537|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1757|Irvin|Eleanor 2 Color|Vincent 5|Merlie|Diego White|Nolan White
2|158|Holo Mask : White & Black #158|824.7076875917818|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/158|Trey|Aria 2 Color|Vincent 6|Ocie|Kai White|Robert White
3|685|Holo Mask : White & Black #685|803.681271823805|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/685|Owen|Zoe 2 Color|Vincent 1|Molly|Harrison White|Leo White
4|116|Holo Mask : White & Black #116|733.1439964814177|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/116|Irvin|Harper 2 Color|Vincent 5|Morine|Gael Black|Jayden White
5|95|Holo Mask : White & Black #95|729.6310025530883|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/95|Sunshine|Ellie 2 Color|Vincent 2|Molly|Weston Black|Jeremiah White
6|1800|Holo Mask : White & Black #1800|716.8680166397479|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1800|Sky|Madison 2 Color|Vincent 4|Nora|Gael Black|Aaron White
7|1351|Holo Mask : White & Black #1351|715.5720483473253|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1351|Irvin|Camila 2 Color|Vincent 4|Nyla|Kingston White|Jayden White
8|1353|Holo Mask : White & Black #1353|713.4157722749304|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1353|Sunshine|Chloe 2 Color|Vincent 6|Nira|Chase Black|Caleb White
8|2977|Holo Mask : White & Black #2977|713.4157722749304|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2977|Trey|Zoe 2 Color|Vincent 6|Marina|Braxton Black|Cooper White
10|2344|Holo Mask : White & Black #2344|713.119557427536|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2344|Trey|Zoe 2 Color|Vincent 4|Lydia|Declan Black|Christopher White
10|3778|Holo Mask : White & Black #3778|713.119557427536|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3778|Sunshine|Ellie 2 Color|Vincent 5|Malia|Brandon Black|Christopher White
12|1710|Holo Mask : White & Black #1710|712.0590544189959|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1710|Vince|Jazlyn White 2 Color|Vincent 4|Nyla|Bentley White|Jonathan White
13|1126|Holo Mask : White & Black #1126|711.7628395716015|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1126|Sunshine|Hannah 2 Color|Vincent 3|Lilly|Bentley Black|Nathan White
13|2978|Holo Mask : White & Black #2978|711.7628395716015|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2978|Vince|Karina White 2 Color|Vincent 3|Luna|Kevin White|Oliver White
13|3339|Holo Mask : White & Black #3339|711.7628395716015|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3339|Trey|Jolene White 2 Color|Vincent 4|Liana|Gavin Black|Wyatt White
16|1380|Holo Mask : White & Black #1380|704.8375558645552|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1380|Irvin|Luna 2 Color|Declan|Lana|Chase White|Julian White
17|205|Holo Mask : White & Black #205|701.62077678362|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/205|Vince|Charlotte 2 Color|Miles|Melda|Ivan Black|Henry White
17|2183|Holo Mask : White & Black #2183|701.62077678362|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2183|Trey|Ava 2 Color|Sawyer|Nyla|Silas White|Nathan White
17|4011|Holo Mask : White & Black #4011|701.62077678362|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4011|Vince|Chloe 2 Color|Kayden|Nina|Kai White|Jaxson White
20|3768|Holo Mask : White & Black #3768|701.3245619362257|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3768|Trey|Luna 2 Color|Ayden|Laila|Maxwell White|Josiah White
