rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1|1485.821022743689|2378|Genesis Kami #2378|Immortal okane mochi|Red scythe|White|Green angry eyes|Blue cape|Gold spear|Smirk|Gold opera kamen|Red ikemen|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2378
2|1475.6822572664346|6|Genesis Kami #6|Chocolate black red thunder|Silver buster sword|White|Black determined|Purple black hood|Gold double long right|Smile|Gold anti toxic mask|Mint shonen|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/6
3|1384.9378781246587|3946|Genesis Kami #3946|Immortal galaxy sakura|Purple scythe|White|Yellow gangsta|Black wing angel|Gold short long|Neutral|Purple shadow mask|Purple disheveled|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3946
4|1339.5539288105047|627|Genesis Kami #627|Sandstone|Katana 2|White|Black strained|White black kimono|Black white fluffy|Smile with teeth|White oni mask|White wuxia|Black baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/627
5|1305.1644239192503|5525|Genesis Kami #5525|Immortal black god feather aura|None|Gray|Black determined|White wing angel|Gold double ring right 2|Haha|Purple shadow mask|Brown disheveled|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5525
6|1284.9100649228317|2297|Genesis Kami #2297|Spruce blue kiminari|Berserker blade|White|Sky blue strained|White gold pimp|Silver ring 1|Smirk|Brown sunglasses|Gold kpop 1|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2297
7|1274.114971008518|1137|Genesis Kami #1137|Slate red fire ghost|Berserker blade|Brown|Sky blue strained|Gold kimono|Silver short long|Smile|White oni mask|Red madara|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1137
8|1272.9994379674883|2187|Genesis Kami #2187|Shadow|Katana 2|Titanium|Sky blue aggressive|White ninja|Black red kss hanafuda|Angry|White oni mask|Black cornrow braids|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2187
9|1244.3603631657402|2858|Genesis Kami #2858|Hazel wood dry leaves|Katana 1|Cream|Green demon|Black gakuran|Gold triple ring right|Smirk|Gold anti toxic mask|Mint disheveled|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2858
10|1236.4952047530548|1485|Genesis Kami #1485|Oat maple leaf|Brush|Brown|Purple strained|Gray fur|Gold ring 2|Green gum|None|Gold japan bangs|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1485
11|1230.8999910634934|599|Genesis Kami #599|Blush|Gold berserker|Cream|Purple cold|Bondage pharoh|Silver ring 3|Angry|Purple shadow mask|Gray wuxia|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/599
12|1215.5851402106741|2368|Genesis Kami #2368|Immortal okane mochi|None|White|Gray demon|Red gakuran|Gold ring 1|Mild smile|Blue anti toxic mask|Gold cornrow braids|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2368
13|1208.5787063592259|4421|Genesis Kami #4421|Mahogany|Berserker blade|Gray|Yellow determined|Black onmyoji|Purple black fluffy|Angry|White oni mask|White long hair|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4421
14|1192.3527642930412|1073|Genesis Kami #1073|Lavender|Red scythe|Cream|Red good boy|Blue hood|Silver dot|Angry|Brown pirate eyepatch|Gray wuxia|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1073
15|1186.5940124770798|1466|Genesis Kami #1466|Shadow|Katana 2|Cream|White grievous|Red white kimono|Gold double long right|Smile|White oni mask|Red cornrow braids|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1466
