rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
1|9999|55|Nerd Ape Dao #55|Fire Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55
1|9999|281|Nerd Ape Dao #281|Cyber Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281
1|9999|649|Nerd Ape Dao #649|Wukong Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649
1|9999|892|Nerd Ape Dao #892|Cosmic Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892
1|9999|1299|Nerd Ape Dao #1299|Lightning Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299
6|306.5825144163547|1221|Nerd Ape Dao #1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221
7|293.7959241379767|488|Nerd Ape Dao #488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488
8|285.9704890053187|1102|Nerd Ape Dao #1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102
9|278.47466964815976|149|Nerd Ape Dao #149|Gray|Pink|Lab|Square|Blue cap|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149
10|278.39399295612384|777|Nerd Ape Dao #777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777
11|270.8817991239049|888|Nerd Ape Dao #888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888
12|266.8645976643737|971|Nerd Ape Dao #971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971
13|256.4677272110869|339|Nerd Ape Dao #339|Gray|Cream|Sheriff|X|Gold hair|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339
14|256.1124241837656|142|Nerd Ape Dao #142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142
15|254.37254803675856|661|Nerd Ape Dao #661|Light green|White|Flower Hawaii|Square|Staw hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661
16|251.58239931738402|500|Nerd Ape Dao #500|Gray|Robot|Green jacket|Red|Green beret|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500
17|250.27647768832284|804|Nerd Ape Dao #804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804
18|248.6025262726747|847|Nerd Ape Dao #847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847
19|247.67952516699975|277|Nerd Ape Dao #277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277
20|245.66888542514553|431|Nerd Ape Dao #431|Gray|Cream|White fur|Heart|Blue headscarf|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/431
21|245.04182663292835|409|Nerd Ape Dao #409|Light green|Red|Black leather|Sleepy|Pink bucket|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409
22|244.5972209037682|1341|Nerd Ape Dao #1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341
23|243.2465227566046|1134|Nerd Ape Dao #1134|Beige|Lav|Lab|Half Robot|Rasta hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1134
24|243.2443604976538|1164|Nerd Ape Dao #1164|Light green|Tiger|Green jacket|Heart|Rasta hat|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1164
25|242.86628433383243|301|Nerd Ape Dao #301|Light green|Robot|None|X|Biker helmet|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301
26|242.75867417456575|915|Nerd Ape Dao #915|Light green|Robot|Red tee|Glasses|Propeller cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/915
27|242.72283211335508|283|Nerd Ape Dao #283|Gray|Pink|Black hoodie|Black Nerd|Rose headscarf|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/283
28|241.80415402953915|1153|Nerd Ape Dao #1153|Light green|Light brown|Pirate|Fasion|Staw hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1153
29|241.63987252453413|383|Nerd Ape Dao #383|Gray|Tiger|Dark blue suit|Glasses|Green beret|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/383
