rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
1|🔵|Nerd Ape Dao #55|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55|Fire Nerd|||||
1|🔵|Nerd Ape Dao #281|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281|Cyber Nerd|||||
1|🔵|Nerd Ape Dao #649|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649|Wukong Nerd|||||
1|🔵|Nerd Ape Dao #892|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892|Cosmic Nerd|||||
1|🔵|Nerd Ape Dao #1299|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299|Lightning Nerd|||||
6|🔵|Nerd Ape Dao #1221|291.2246491843538|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out
7|🟢+1|Nerd Ape Dao #488|280.5465806997159|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out
8|🟢+1|Nerd Ape Dao #1102|279.8471806075739|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close
9|🔴-2|Nerd Ape Dao #777|279.73352116966186|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette
10|🔵|Nerd Ape Dao #149|271.55435760701477|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149|Gray|Pink|Lab|Square|Blue cap|Burger
11|🟢+1|Nerd Ape Dao #1371|262.5259129536238|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1371|Gray|Black|Black turtleneck|Red Cat|Fastfood|Open
12|🔴-1|Nerd Ape Dao #888|261.8668403320155|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out
13|🟢+2|Nerd Ape Dao #804|257.5871050416292|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy
14|🟡|Nerd Ape Dao #1387|257.33396305191064|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1387|Light green|Gray|Banana hawaii|Fasion|Newsboy cap|Pipe
15|🔴-1|Nerd Ape Dao #142|256.3299927172895|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420
16|🔵|Nerd Ape Dao #971|254.1149685319787|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile
17|🔵|Nerd Ape Dao #847|253.97512639392275|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar
18|🔵|Nerd Ape Dao #339|252.94062179377323|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339|Gray|Cream|Sheriff|X|Gold hair|Sneaky
19|🔴-6|Nerd Ape Dao #661|250.83506310702546|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661|Light green|White|Flower Hawaii|Square|Staw hat|Close
20|🟢+3|Nerd Ape Dao #500|247.97276703202238|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500|Gray|Robot|Green jacket|Red|Green beret|Close
21|🟢+5|Nerd Ape Dao #1341|245.2080298668384|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin
22|🟢+9|Nerd Ape Dao #619|243.7235821434173|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/619|Beige|Gray|White singlet|ETH|Brown camping hat|Smile
23|🟢+9|Nerd Ape Dao #1112|242.57046050781886|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1112|Red|Pink|Rasta hawaii|Oneeye|Brown camping hat|Smile
24|🔴-5|Nerd Ape Dao #277|241.38609755482415|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out
25|🟢+9|Nerd Ape Dao #283|241.06281753707285|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/283|Gray|Pink|Black hoodie|Black Nerd|Rose headscarf|Candy
26|🟢+9|Nerd Ape Dao #577|240.3601241455174|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/577|Green mint|Black|Adventure|Red|Brown camping hat|Tongue_out
