rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
1|Oliens #1089|2364.5119222819085|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1088|bloody wall |light skin |will i ever go home tattoo |big fat nose |wondering mouth |sus eyes||black suit |bitcoin necklce|marron cowboy hat |
2|Oliens #1440|2311.866339281929|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1439|bloody wall |gray bluish ||nose2 |wide mouth|bored eyes ||naked ||long braid ginger|
3|Oliens #1909|781.5869479643864|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1908|jungle |pale lime yellow ||big fat nose |wild mouth |cucumber mask ||deep pink cowboy shirt ||black robe and dark sing |
4|Oliens #1339|707.7389656317469|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1338|dark purple back |bunrt umber ||Onose |small lips|cucumber mask ||purple and green shirt |gold ring|short hair |
5|Oliens #709|706.8164572420415|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/708|haha |green ||Onose |closed mouth |bored eyes |sun glasses |pink bathrobe ||black robe and dark sing |
6|Oliens #930|590.5320664753136|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/929|haha |baby blue ||Onose |wild mouth |bruised eye |purple fire glasses |blue bathrobe ||red long hair|
7|Oliens #1538|581.3407046725752|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1537|letters |raw umber ||Onose |wondering mouth |Oeyes ||purple vintage shirt ||marron cowboy hat |cigarette 
8|Oliens #988|580.6307183205308|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/987|light blue |light gray ||nose2 |wild mouth |cucumber mask ||blue bathrobe |silver ring |bald |cigarette 
9|Oliens #323|573.3644587816967|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/322|letters |light lime yellow ||wierd nose |closed mouth |tierd eyes sinning ||black Tshirt |bitcoin necklce|braid unicorn |
10|Oliens #1377|564.0032097228419|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1376|letters |sky blue body ||nose2 |closed mouth |Oeyes shiny ||green suit ||oxblood cowboyhat |blunt 
11|Oliens #2191|555.0993169681428|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2190|letters |pale lime yellow ||big fat nose |wide mouth|tierd eyes ||blue suit |gold ring|braid unicorn |
12|Oliens #986|553.6710074941944|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/985|desert night |light virdian ||funny nose |wide mouth|cucumber mask |sun glasses |naked ||bald |
13|Oliens #1683|551.8491730768488|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1682|shades of blue |sky blue body ||bignose |closed mouth |bruised eye ||decolte ||red cap hat |cigarette 
14|Oliens #1495|544.6521070855549|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1494|letters |sky blue body ||Onose |wide mouth|bored eyes |sun glasses |green suit ||bald |blunt 
15|Oliens #89|542.1624522803734|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/88|ice latte back |light skin ||bignose |wide mouth|cucumber mask ||black suit ||bald |
16|Oliens #2212|539.6563047382522|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2211|glittery night sky |baby blue ||nose2 |wide mouth|tierd eyes sinning |pink fire glaasses |decolte |bitcoin necklce|black long hair |
17|Oliens #542|534.7113881656901|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/541|orange to purple |bunrt umber ||Onose |small lips|bored eyes ||decolte |silver ring |white long hair |
18|Oliens #690|532.0846442252106|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/689|red drapes |light gray ||funny nose |wide mouth|cucumber mask ||blue Tshirt ||bald |
19|Oliens #1252|531.526156176431|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1251|burnning man |light lime yellow ||nose2 |open mouth |bored eyes |sun glasses |triditional robe ||egyptian|
20|Oliens #964|529.5601051479817|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/963|mushroom cloud |sun burn white skin ||funny nose |closed mouth |punky eyes ||jedi robe |silver ring |cap |
21|Oliens #1839|512.6095775770656|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1838|pink to blue |light gray ||nose2 |small lips|cool eyes |purple fire glasses |simple gray vintage shirt ||rice hat |
22|Oliens #2002|506.4492666896887|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2001|letters |light virdian ||nose2 |wondering mouth |sus eyes||under shirt ||oxblood cowboyhat |
23|Oliens #2185|501.1155176994345|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2184|purple back |baby blue ||wierd nose |wide mouth|tierd eyes sinning ||decolte ||cap hat |
24|Oliens #1589|496.8109439077472|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1588|haha |pink |will i ever go home tattoo |Onose |small lips|tierd eyes ||orange vintage shirt ||braid black|
25|Oliens #2171|492.27918978376266|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2170|orange to purple |green ||wierd nose |wondering mouth |tierd eyes ||pink shirt with a line ||rice hat |
26|Oliens #64|492.2364219953887|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/63|burnning man |sky blue body ||big fat nose |wide mouth|cute eyes ||decolte ||short hair |blunt 
27|Oliens #1057|490.5177829724917|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1056|wormhole |light virdian ||big fat nose |wild mouth |Oeyes shiny ||cowboy shirt vintage ||rice hat |blunt 
28|Oliens #613|481.6430919526847|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/612|haha |bunrt umber ||funny nose |closed mouth |bored eyes ||naked ||mohak|blunt 
29|Oliens #1134|477.7436736803947|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1133|shades of gray |baby blue ||wierd nose |wide mouth|punky eyes ||blue Tshirt ||rice hat |cigarette 
30|Oliens #49|473.0158790983122|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/48|haha |gray bluish ||big fat nose |wide mouth|sus eyes||green vintage shirt ||short wavy hair |
31|Oliens #1821|471.00103166286596|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1820|glittery night sky |light skin ||bignose |small lips|cool eyes ||cowboy shirt vintage ||rice hat |
32|Oliens #193|468.0975361119174|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/192|haha |green ||bignose |wild mouth |tierd eyes sinning ||deep green vintage shirt ||short hair |cigarette 
33|Oliens #1562|466.6793454652084|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1561|galaxy |light lime yellow ||big fat nose |wild mouth |Oeyes shiny ||decolte ||bald |
34|Oliens #1439|465.7573484466582|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1438|black and purple |pink ||nose2 |wild mouth |joker eyes ||red suit ||head band |
35|Oliens #2060|465.4087708191557|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2059|light blue |sky blue body ||wierd nose |wondering mouth |punky eyes ||under shirt ||rice hat |cigarette 
